MOVIE_NAME,PREDICTED_GENRES
 Sisterhood (2008) ,"(' comedy ',)"
 Idylle (1983) ,()
 The Lost Skeleton Returns Again (2009) ,()
 Deadly Tales II (2016) ,"(' horror ',)"
 The 20th Annual Grammy Awards (1978) ,"(' music ',)"
 Allein in vier Wänden (2007) ,()
 The Living Graveyard (2005) ,"(' documentary ',)"
 Paranormal Haunting: The Curse of the Blue Moon Inn (2011) ,"(' horror ',)"
 One Day in Africa (2009) ,"(' documentary ',)"
 Prepoznavanje (1996) ,"(' drama ',)"
 Bob & Tom Comedy All-Stars Tour (2007) ,()
" ""Without Warning"" (2006) ","(' documentary ',)"
 Savant (????) ,"(' drama ',)"
" ""The Hot 10"" (2011) ",()
" ""Qixuan wang yu Zhong Wu Yan"" (2004) ","(' drama ',)"
 Barn9: Chariots on Fire (2017) ,()
 Scam (????) ,"(' action ',)"
 Lokalni vampir (2011) ,"(' horror ',)"
 Ali: The Greatest (2013) ,"(' documentary ',)"
 We Watch You Watch (2008) ,"(' comedy ',)"
 Shukuzu (1953) ,"(' drama ',)"
 Recovered: Journeys Through the Autism Spectrum and Back (2008) ,"(' documentary ',)"
 Les oursins (1958) ,"(' short ',)"
" ""tlc"" (2002) ","(' comedy ',)"
 20 Year Old Virgins (2011) ,"(' comedy ',)"
 The Joneses Unplugged (2017) ,"(' drama ',)"
 Volunteer (2011) ,"(' documentary ',)"
 A Segunda Viagem Triunfal (1939) ,"(' documentary ',)"
 The Client List (2010) ,()
" ""Bringing Our Stories Home"" (2016) ","(' documentary ',)"
" ""Furusato saisei: Nihon no mukashi banashi"" (2012) ",()
 The Occult: The Truth Behind the Word (2010) ,()
 Kole dlya snezhnoy baby (2007) ,"(' comedy ', ' drama ')"
 Lightning Over Water (1980) ,()
 Batch No.16 (2011) ,()
" ""Mahoro ekimae bangaichi"" (2013) ","(' comedy ',)"
 Murders of Innocence (????) ,"(' documentary ',)"
 Flying High (1926) ,()
 Rochez and Company (2007) ,()
 Budda saitan (2009) ,"(' drama ',)"
 The Erotic Adventures of Anais Nin (2015) ,"(' documentary ',)"
 Untamed Youth (1957) ,"(' comedy ', ' drama ')"
 Chronicles of a Silver Revolver (????) ,"(' drama ',)"
 Los jóvenes muertos (2010) ,"(' documentary ',)"
 Rew thalu rew (2014) ,"(' action ',)"
 Smoke Tree Range (1937) ,"(' western ',)"
 Tendresse ordinaire (1973) ,"(' drama ',)"
 The Black Wolf (1917) ,()
 After the End (2017) ,"(' drama ',)"
" ""Ellenwood"" (2017) ",()
 Abomination: The Evilmaker II (2003) ,"(' horror ',)"
" Stuntwood: The Birth, Life, and Death of a Skateboard (2006) ","(' documentary ',)"
 Kyrie Eleison (2006) ,()
 Bleed (2005) ,"(' horror ',)"
 Jack Boyz (2016) ,()
 Mutiny (1952) ,()
 How Police Missed the Grindr Killer (2017) ,()
 Epic History of Everyday Things (2011) ,"(' documentary ',)"
 Goats (2012) ,()
" A Haunting in Saginaw, Michigan (2013) ","(' horror ',)"
